Organization	KG id	KG name	KG SPARQL endpoint	RDF dump link	Ontology	Triples	F1-M Unique and persistent ID	F1-D URIs dereferenceability	F2a-M - Metadata availability via standard primary sources	F2b-M Metadata availability for all the attributes covered in the FAIR score computation	F3-M Data referrable via a DOI	F4-M Metadata registered in a searchable engine	F score	A1-D Working access point(s)	A1-M Metadata availability via working primary sources	A1.2 Authentication & HTTPS support	A2-M Registered in search engines	A score	I1-D Standard & open representation format	I1-M Metadata are described with VoID/DCAT predicates	I2 Use of FAIR vocabularies	I3-D Degree of connection	I score	R1.1 Machine- or human-readable license retrievable via any primary source	R1.2 Publisher information, such as authors, contributors, publishers, and sources	R1.3-D Data organized in a standardized way	R1.3-M Metadata are described with VoID/DCAT predicates	R score	FAIR score
	freeyork-org	Freeyork		[]	False	118183	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Archive	geographic-names-information-system-gnis	Geographic Names Information System (GNIS)	https://gnis-ld.org/queries	[]	False	3508685	1	0.0	1	0.44	0	1	0.57	0.5	1	0.0	1	0.62	1	0	0.0	1	0.5	0	1	1	0	0.5	2.19
None	getty-aat	Art & Architecture Thesaurus	https://vocab.getty.edu/sparql	[]	False	0	1	0.0	1	0.44	1	1	0.74	0.5	0	0.0	1	0.38	1	0	0.0	0	0.25	1	1	1	0	0.75	2.12
None	getty-tgn	The Getty Thesaurus of Geographic Names	http://vocab.getty.edu/sparql	[]	False	0	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
None	glastonbury-2011	Glastonbury 2011 Programme		[]	False	42581	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.06
Museum	googleart-wrapper	GoogleArt wrapper		[]	False	37717	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.06
Museum	greekchildrensartmuseum	Greek Children Art  Museum dataset	http://ct-linkdata.aegean.gr/gcam/sparql	['https://www.childrensartmuseum.gr/LD-project/children_artworks.ttl', 'https://www.childrensartmuseum.gr/LD-project/children_artworks.rdf']	False	2211	1	0.0	1	0.78	1	1	0.8	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.8
Library	gutenberg	Project Gutenberg		[]	False	5450115	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
None	HaMSE	HaMSE		[]	True	0	0	0.0	0	0.22	0	1	0.2	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.45
Library	hebis-bibliographic-resources	HeBIS - Bibliographic Resources of the Library Union Catalogues of Hessen and parts of the Rhineland Palatinate	http://lod.hebis.de/sparql	[]	False	267038676	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Library	hedatuz	Hedatuz	http://helheim.deusto.es/hedatuz/sparql	[]	False	141309	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Archive	http:cultural-opposition.eu	COURAGE Dataset	http://courage.btk.mta.hu:3030/	[]	False	0	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.07
Museum	https:www.childrensartmuseum.grLD-project	Greek Children Art  Museum dataset		['https://www.childrensartmuseum.gr/LD-project/children_artworks.ttl']	False	2211	1	0.0	1	0.56	1	1	0.76	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.76
Library	hungarian-national-library-catalog	Hungarian National Library (NSZL) catalog	http://setaria.oszk.hu/sparql	[]	False	19300000	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
None	ICON	ICON		[]	True	0	1	0.0	0	0.33	1	1	0.56	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.81
Archive	iislod-test	Test Site, LOD Lab 317	http://sparql.odw.tw	[]	False	5188	1	0.0	1	0.56	0	1	0.59	1.0	1	1.0	1	1.0	1	1	0.0	0	0.5	1	1	1	1	1.0	3.09
None	Inztrow	Inztrow		['https://inztrow.bandcamp.com/album/inztrow-vol-1', 'https://distrokid.com/hyperfollow/cotixinztrow/dz7I']	False	0	1	0.0	1	0.33	0	1	0.56	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	0	1	1	0	0.5	2.06
Library	ISSN:0080-3626	Pierwszy polski podręcznik bibliotekarski		[]	False	0	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.04
Archive	jamendo-dbtune	DBTune.org Jamendo RDF Server	http://dbtune.org/jamendo/sparql/	[]	False	1100000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.34
Library	Japan-Search	Japan Search	https://jpsearch.go.jp/rdf/sparql/	[]	False	0	0	0.2	1	0.44	0	0	0.27	1.0	0	1.0	0	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.52
Library	jiscopenbib-bl_bnb-1	JISC Open Bibliography British National Bibliography dataset	http://bnb.data.bl.uk/sparql	[]	False	18376419	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.07
Library	jita	JITA Classification System of Library and Information Science	http://202.73.13.50:55824/catalogs/performance/repositories/jita	[]	False	3500	1	0.0	1	0.89	0	1	0.65	1.0	1	0.0	1	0.75	1	1	1.0	1	1.0	1	1	1	1	1.0	3.4
Archive	john-goodwins-family-tree	John Goodwin's Family Tree	http://api.talis.com/stores/jgoodwin-genealogy/services/sparql	[]	False	177867	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	0	1	1	1	0.75	2.57
Library	judaicalink	JudaicaLink		[]	False	0	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
Library	Korea-Library	National Library of Korea		[]	False	0	0	0.0	0	0.11	0	0	0.02	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	0	1	1	0	0.5	0.77
Library	Kronika_naukowa_Biblioteki_Jagiellońskiej	Kronika naukowa Biblioteki Uniwersyteckiej w Łodzi		[]	False	0	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.04
Library	lcsh	Library of Congress Subject Headings		[]	False	7332816	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
Library	lcsubjects	LCSubjects.org Library of Congress Subject Headings		[]	False	12113187	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.06
Library	ldt@library	Linked Open Data Taiwan @ Library	https://ld.ncl.edu.tw/graph.jsp	['https://ld.ncl.edu.tw/download/Name_RDF_20230502.zip', 'https://ld.ncl.edu.tw/download/Subject_RDF_20230502.zip', 'https://ld.ncl.edu.tw/download/Classification_RDF_20230502.zip']	False	22308421	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Library	Library-of-America	Digital Public Library of America		[]	False	0	0	0.0	0	0.22	0	1	0.2	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.45
Library	libris	LIBRIS	http://libris.kb.se/sparql	[]	False	50000000	1	0.2	1	0.67	0	1	0.64	1.0	1	1.0	1	1.0	1	0	0.0	1	0.5	1	1	1	0	0.75	2.89
Library	libver	Public Library of Veroia	http://libver.math.auth.gr/sparql	[]	False	1285417	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
None	Linguistic-Phenomena-Ontology	Linguistic Phenomena Ontology		[]	True	0	0	0.0	0	0.11	0	1	0.19	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.19
Library	linkedlccn	LinkedLCCN	http://api.talis.com/stores/rsinger-dev4/services/sparql	[]	False	1573663	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Archive	linkedmdb	Linked Movie DataBase	http://data.linkedmdb.org/sparql	[]	False	6148121	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
Library, Archive	lista-encabezamientos-materia	Lista de  Encabezamientos de Materia as Linked Open Data	http://id.sgcb.mcu.es/sparql	[]	False	193865	1	0.0	1	0.56	0	1	0.59	0.5	1	0.0	1	0.62	1	0	0.0	1	0.5	1	1	1	0	0.75	2.46
Library	LucaniPharsalia	Lucani Pharsalia in LiLa	https://lila-erc.eu/sparql/lila_knowledge_base/sparql	['https://github.com/CIRCSE/LucaniPharsalia']	False	549597	1	0.0	1	0.67	1	1	0.78	1.0	1	0.0	1	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	3.28
Archive	massobservationarchivecatalogue	Mass Observation Archive catalogue	http://api.talis.com/stores/massobservation/services/sparql	[]	False	428035	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.07
Library	MiMoTextBase	MiMoTextBase	https://query.mimotext.uni-trier.de/	[]	False	0	1	0.0	1	0.33	1	1	0.72	0.5	0	0.0	1	0.38	1	0	0.0	0	0.25	0	1	1	0	0.5	1.85
Museum	mismuseos-gnoss	Mis Museos, índice semántico de museos, artistas y obras de arte (GNOSS)		[]	False	1235894	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
None	MMM	Mapping Manuscript Migrations	http://ldf.fi/mmm/sparql	[]	False	0	1	0.9938	1	0.56	1	1	0.93	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.68
Archive	Mondis	Mondis		[]	False	0	0	0.0	0	0.11	0	0	0.02	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	0	1	1	0	0.5	0.77
Archive	muninn-world-war-i	Muninn World War I	http://rdf.muninn-project.org/sparql	[]	False	38927740	1	0.0	1	0.89	0	1	0.65	1.0	1	0.0	1	0.75	1	1	0.42	1	0.86	1	1	1	1	1.0	3.26
Museum	museosespania-gnoss	Museos de España, colección de museos públicos y privados españoles (GNOSS)		[]	False	79065	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	3.09
Museum	museums-in-italy	Italian Museums	http://sparql.linkedopendata.it/musei	[]	False	49897	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
None	Music-Note-Ontology	Music Note Ontology		[]	True	0	0	0.0	0	0.22	0	1	0.2	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.45
Archive	MusicKG	MusicKG		[]	False	0	0	0.0	0	0.11	0	1	0.19	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.19
Library	muziekweb	Muziekweb	https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb	['https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.trig.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.nt.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.nq.gz', 'https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/download.ttl.gz']	False	31579141	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.36
Library	National-Library-Netherlands	National Library Netherlands	https://data.bibliotheken.nl/KB/Production/sparql	[]	False	0	0	0.0	1	0.44	0	1	0.41	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.16
Library	national-library-of-greece-authority-records	National Library of Greece Authority Records	http://nlg.okfn.gr/sparql	[]	False	0	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Library	National-Library-of-Scotland	National Library of Scotland		[]	False	0	0	0.0	0	0.22	0	1	0.2	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.45
Library	nlr-dataset-mod	National Library of Russia BibCore Dataset		[]	False	2372	1	0.0	1	0.33	0	1	0.56	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	0	1	1	0	0.5	2.06
Library	NLS	National Library of Sweden	https://libris.kb.se/sparql	[]	False	0	0	0.2	1	0.22	0	1	0.4	1.0	0	1.0	1	0.75	1	0	0.0	0	0.25	0	1	1	0	0.5	1.9
Museum	nom	Nomenclature for Museum Cataloging	https://nomenclature.info/sparql	['https://nomenclature.info/dataset/datadump.jsonld', 'https://nomenclature.info/dataset/datadump.ttl', 'https://nomenclature.info/dataset/datadump.rdf', 'https://page.nomenclature.info/api/excel/nomenclature-sortEn.csv']	False	1703790	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Archive	nomisma_org	Nomisma.org	http://nomisma.org/query	['http://nomisma.org/nomisma.org.rdf', 'http://nomisma.org/nomisma.org.ttl', 'http://nomisma.org/nomisma.org.jsonld']	False	0	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Archive	ntnusc	NTNU special collections	http://api.talis.com/stores/gunnbib-digitalmanuskripter/sparql	[]	False	3569	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Archive	OntoCeramic-2.0	OntoCeramic 2.0		[]	True	0	0	0.0	0	0.11	0	1	0.19	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.19
Library	OntoComedySources	OntoComedySources		[]	True	0	0	0.0	0	0.11	0	1	0.19	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.19
Library	open-library	Open Library		[]	False	400000000	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
Library	orlando-womens-writing-linked-open-data-set	The Orlando Women's Writing Linked Open Data Set	http://sparql.cwrc.ca/sparql	[]	False	5489	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
None	pali-english-lexicon	Pali English Lexicon	http://api.kasabi.com/dataset/pali-english-lexicon/apis/sparql	[]	False	202731	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	1	0.0	0	0.5	1	1	1	1	1.0	2.84
Archive	performing-arts.ch	performing-arts.ch	https://www.performing-arts.ch/sparql	[]	False	0	0	0.8	1	0.44	0	0	0.37	1.0	0	1.0	0	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.62
Archive	periodo	PeriodO Period Gazetteer		[]	False	69033	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	pleiades	Pleiades		[]	False	2600000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	Polifonia	Polifonia		[]	True	0	0	0.0	0	0.22	0	1	0.2	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.45
Library	polymath-virtual-library	Polymath Virtual Library (Authority data) - Fundación Ignacio Larramendi		[]	False	0	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Archive	prelinger_archives	Prelinger Archives	http://api.kasabi.com/dataset/prelinger-archives/apis/sparql	[]	False	454904	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	1	0.0	0	0.5	1	1	1	1	1.0	2.84
Library	princeton-library-findingaids	Princeton Library FindingAids		[]	False	0	1	0.0	1	0.33	0	1	0.56	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.31
Library	printed-book-auction-catalogues	English Language Books listed in Printed Book Auction Catalogues from 17th Century Holland	http://api.talis.com/stores/pbac/services/sparql	[]	False	55214	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.84
Library, Archive	Querolus	Querolus in LiLa	https://lila-erc.eu/sparql/lila_knowledge_base/sparql	['https://github.com/CIRCSE/Querolus']	False	109389	1	0.0	1	0.67	1	1	0.78	1.0	1	0.0	1	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	3.28
Archive, Library, Museum	radatana	Rådata nå!	http://data.bibsys.no/data/query_authority.html	[]	False	9370074	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Library	rainis-and-aspazija-linked-digital-collection	"Rainis and Aspazija" Linked Digital Collection		[]	False	34660	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
Archive	rdfize-lastfm	Last.FM RDFization of Events, Artists, and Users		[]	False	400000000	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	0	1	1	1	0.75	2.56
Museum	Rijksmuseum	Rijksmuseum Collection	https://data.netwerkdigitaalerfgoed.nl/Rijksmuseum/collection/sparql	[]	False	0	0	0.0	1	0.33	0	0	0.22	0.5	0	0.0	0	0.12	1	0	0.0	0	0.25	1	1	1	0	0.75	1.34
Archive	rism	Répertoire International des Sources Musicales - RISM	http://data.rism.info/sparql	[]	False	17217885	1	0.0	1	0.67	0	1	0.61	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.61
Library	rism-authorities	RISM Authority data	http://data.rism.info/sparql	[]	False	1154325	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	0	0.0	1	0.5	1	1	1	0	0.75	2.86
Archive	roceeh-road	ROCEEH Out of Africa Database (ROAD)	http://www.roceeh.uni-tuebingen.de:3030/road/sparql	[]	False	4000000	1	0.0	1	0.44	0	1	0.57	1.0	1	1.0	1	1.0	1	0	0.0	1	0.5	1	1	1	0	0.75	2.82
Museum, Gallery	Russian-Museum	The State Russian Museum		[]	False	0	0	0.0	0	0.11	0	0	0.02	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	0	1	1	0	0.5	0.77
None	SaintGall-Ontology	SaintGall Ontology		[]	True	0	0	0.0	0	0.11	0	0	0.02	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	0	1	1	0	0.5	0.77
Library	sandrart-net	sandrart.net		[]	False	140000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Library	Semantic-Kalevala	Semantic Kalevala	http://ldf.fi/folklore/sparql	[]	False	0	0	0.8944	1	0.44	0	0	0.39	1.0	0	1.0	0	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.14
Library	Shanghai-Library-Open-Data-Platform	Shanghai Library Open Data Platform	https://data.library.sh.cn/sparql/	[]	False	0	0	0.0	1	0.44	0	0	0.24	1.0	0	1.0	0	0.5	1	1	0.0	1	0.75	1	1	1	1	1.0	2.49
None	Sherry_Wine	Sherry Wine Vocabulary		[]	False	0	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.06
None	Sherry_Wine_	Sherry Wine		[]	False	15	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	0	0.25	1	1	1	0	0.75	2.04
Archive	slod	Linked Stage Graph	http://slod.fiz-karlsruhe.de/sparql	[]	False	143345	1	0.893	1	0.44	0	1	0.72	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.47
Museum	Smithsonian	Smithsonian American Art Museum	http://edan.si.edu/saam/sparql	[]	False	0	0	1.0	1	0.33	0	1	0.56	1.0	0	1.0	1	0.75	1	0	0.0	0	0.25	1	1	1	0	0.75	2.31
Library	srcmf	Syntactic Reference Corpus of Medieval French (SRCMF)		[]	False	690000	1	0.0	1	0.33	0	1	0.56	1.0	1	0.0	1	0.75	1	0	0.0	0	0.25	0	1	1	0	0.5	2.06
Library	stitch-rameau	RAMEAU subject headings (STITCH)		[]	False	1619918	1	0.0	1	0.44	0	1	0.57	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	0	1	1	0	0.5	2.32
Archive	surge-radio	Surge Radio		[]	False	218000	1	0.0	1	0.22	0	1	0.54	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.04
Museum	swedish-open-cultural-heritage	Swedish Open Cultural Heritage		[]	False	1000000000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	sztaki-lod	National Digital Data Archive of Hungary (partial)	http://lod.sztaki.hu/sparql	[]	False	11000000	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.36
Library	talis-openlibrary	Open Library data mirror in the Talis Platform		[]	False	541396055	1	0.0	1	0.56	0	1	0.59	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.34
Library	the-european-library-open-dataset	The European Library Open Dataset	https://sparql.europeana.eu/	[]	False	4418628287	1	0.0	1	0.67	0	1	0.61	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.36
Archive	the-view-from	The View From	http://api.talis.com/stores/theviewfrom/services/sparql	[]	False	368	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	1	0.0	1	0.75	0	1	1	1	0.75	2.57
Archive	thesaurus-w	Thesaurus W for Local Archives	http://www.archivesdefrance.culture.gouv.fr/thesaurus/sparql	[]	False	11000	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Archive	tip	TIP	http://lod.apc.gov.tw/sparql	[]	False	264034	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Library	ub-mannheim-linked-data	Linked Data Service der Universitätsbibliothek Mannheim	http://data.bib.uni-mannheim.de/sparql	[]	False	53415605	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	0	1	1	0	0.5	2.07
Library	UDante	UDante in LiLa	https://lila-erc.eu/sparql/lila_knowledge_base/sparql	['https://github.com/CIRCSE/UDante']	False	1226015	1	0.0	1	0.67	1	1	0.78	1.0	1	0.0	1	0.75	1	1	0.0	1	0.75	1	1	1	1	1.0	3.28
Library, Archive, Museum	viaf	VIAF: The Virtual International Authority File		[]	False	200000000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	warsampo	WarSampo	http://ldf.fi/warsa/sparql	['https://doi.org/10.5281/zenodo.3431121', 'https://zenodo.org/record/3431122/files/warsampo.zip']	False	14280903	1	1.0	1	0.78	0	1	0.8	1.0	1	1.0	1	1.0	1	1	0.79	1	0.95	1	1	1	1	1.0	3.75
Archive	wasabi	WASABI RDF Knowledge Graph	http://wasabi.inria.fr/sparql	['https://zenodo.org/record/3833753/files/covidontheweb-1-1.tar', 'https://doi.org/10.5281/zenodo.4247134', 'https://doi.org/10.5281/zenodo.5603369']	False	183494891	1	0.0	1	0.89	1	1	0.82	1.0	1	1.0	1	1.0	1	1	0.53	1	0.88	1	1	1	1	1.0	3.7
Library	wl-kg	The World Literature Knowledge Graph	https://kgccc.di.unito.it/sparql/	[]	False	4	1	0.9974	1	0.56	1	1	0.93	1.0	1	1.0	1	1.0	1	1	0.5	0	0.62	1	1	1	1	1.0	3.55
Archive	ww1lod	World War 1 as Linked Open Data	http://ldf.fi/ww1lod/sparql	['http://ldf.fi/ww1lod/iwm/', 'http://ldf.fi/ww1lod/iga/', 'http://ldf.fi/ww1lod/bsta/', 'http://ldf.fi/ww1lod/bpol/', 'http://ldf.fi/ww1lod/main/', 'http://ldf.fi/ww1lod/atr/', 'http://ldf.fi/ww1lod/wikipedia/', 'http://ldf.fi/ww1lod/principalevents/']	False	40160	1	0.932	1	0.78	0	1	0.79	1.0	1	1.0	1	1.0	1	1	0.8	1	0.95	1	1	1	1	1.0	3.74
Archive	Yale	Yale centre of British Art	http://collection.britishart.yale.edu/sparql/	[]	False	0	0	0.0	1	0.33	0	0	0.22	0.0	0	0.0	0	0.0	1	0	0.0	0	0.25	1	1	1	0	0.75	1.22
None	yso	YSO - General Finnish Ontology		['http://finto.fi/rest/v1/yso/data?format=text/turtle', 'http://finto.fi/rest/v1/yso/data?format=application/rdf%2Bxml']	True	570000	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	zbw-pressemappe20	20th Century Press Archives	https://zbw.eu/beta/sparql/pm20/query	[]	False	12000000	1	0.0002	1	0.44	0	1	0.57	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	0	1	1	1	0.75	3.07
Archive	Zeri-Photo-Archive	Zeri Photo Archive	http://data.fondazionezeri.unibo.it/sparql	[]	False	0	0	0.0	1	0.33	0	1	0.39	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.64
Archive	zitgist-musicbrainz	MusicBrainz (zitgist.com)		[]	False	60000000	1	0.0	1	0.33	0	1	0.56	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.31
