Organization	KG id	KG name	KG SPARQL endpoint	RDF dump link	Ontology	Triples	F1-M Unique and persistent ID	F1-D URIs dereferenceability	F2a-M - Metadata availability via standard primary sources	F2b-M Metadata availability for all the attributes covered in the FAIR score computation	F3-M Data referrable via a DOI	F4-M Metadata registered in a searchable engine	F score	A1-D Working access point(s)	A1-M Metadata availability via working primary sources	A1.2 Authentication & HTTPS support	A2-M Registered in search engines	A score	I1-D Standard & open representation format	I1-M Metadata are described with VoID/DCAT predicates	I2 Use of FAIR vocabularies	I3-D Degree of connection	I score	R1.1 Machine- or human-readable license retrievable via any primary source	R1.2 Publisher information, such as authors, contributors, publishers, and sources	R1.3-D Data organized in a standardized way	R1.3-M Metadata are described with VoID/DCAT predicates	R score	FAIR score
Archive	ASCDC-IHP-WCD	Database of the Han Wooden Slips Character Dictionary (WCD)	https://data.ascdc.tw/en/sparql.php	[]	False	143264	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Archive	ASCDC-Linked-Taiwan-Artists	Linked Taiwan Artists (LTA)	https://linkedart.ascdc.tw/live_sparql.php	[]	False	17298	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Museum	ASCDC-NMMBA-Aquatic-Animals-in-Taiwan	Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in-Taiwan)	https://data.ascdc.tw/en/sparql.php	[]	False	73696	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Museum	ASCDC-NMMBA-Fish-Otoliths	The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths)	https://data.ascdc.tw/en/sparql.php	[]	False	0	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
Archive	ASCDC-Qing-Secret-Societies	Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan)	https://data.ascdc.tw/en/sparql.php	['https://lod-cloud.net/dataset/ASCDC-Qing-Secret-Societies']	False	8810	1	0.0	1	0.56	0	1	0.59	1.0	1	0.0	1	0.75	1	0	0.0	1	0.5	1	1	1	0	0.75	2.59
Archive	ASCDC-Tibetan-Audio-Archive	The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive)	https://data.ascdc.tw/en/sparql.php	[]	False	112628	1	0.0	1	0.44	0	1	0.57	0.0	1	0.0	1	0.5	1	0	0.0	1	0.5	1	1	1	0	0.75	2.32
None	ATLAS-Italian-Digital-CH	The ATLAS of Italian Digital Cultural Heritage		[]	True	0	1	0.0	0	0.33	1	1	0.56	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	1	1	1	0	0.75	1.81
None	Atlas-of-Paths	Atlas of Paths Ontology - Italian Application Profile		[]	True	0	1	0.0	0	0.22	1	1	0.54	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.54
Museum	Auckland-Museum	Auckland Museum		[]	False	0	0	0.0	0	0.11	0	1	0.19	0.0	0	0.0	1	0.25	1	0	0.0	0	0.25	0	1	1	0	0.5	1.19
Library	b3kat	B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg	http://lod.b3kat.de/sparql	[]	False	1022898443	1	1.0	1	0.78	0	1	0.8	1.0	1	1.0	1	1.0	1	1	0.0	1	0.75	1	1	1	1	1.0	3.55
